Sex,Age,School failure,Whatsapp,W,Facebook,F,Instagram,I,Twitter,Tw,Snapchat,S,TikTok,Tk,Other social,O,Time spent on social media,Daily use of social media,Which Device,Time flows,Perceived anxiety during SM use,Perceived loneliness,SM checking,Video-games and online play,Time spent on line playng videogames,BSMAS,BSMAS cut-off underlined,RSES,CSIQ-A,STAI Y-1,STAI Y-2
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,11,11,21,30,43,44
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Never,I don't play,11,11,8,18,51,54
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,Less anxious,Less alone,Infrequently (1-2 times),Sometimes,<1 hour,17,17,15,19,40,55
Male,17,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,4-6,Yes,Smartphone,As always,As always,As always,Never,Sometimes,1-3 hours,17,17,17,20,37,38
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,12,12,9,23,46,50
Male,19,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,17,17,19,17,39,43
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,More alone,Never,Never,I don't play,19,19,9,14,54,51
Male,17,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,4-6,Yes,Smartphone,As always,As always,As always,Never,Sometimes,1-3 hours,17,17,17,20,37,38
Male,18,No,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Often,Approximately one hour,23,23,20,22,51,45
Female,17,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,10,10,14,21,36,45
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,19,19,19,21,41,51
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,Less anxious,Less alone,Never,Everyday,More than five hours,10,10,21,27,55,39
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,1-3 hours,16,16,16,28,45,48
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Sometimes,Approximately one hour,7,7,19,21,51,52
Female,18,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Sometimes,I don't play,11,11,18,20,44,52
Female,17,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,Approximately one hour,10,10,18,15,38,43
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,Less anxious,As always,Infrequently (1-2 times),Often,1-3 hours,8,8,12,26,41,48
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,8-10,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,12,12,6,21,35,44
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,No,Smartphone and computer,As always,More anxious,Less alone,Never,Infrequently,<1 hour,16,16,8,16,48,43
Female,18,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,14,14,17,19,47,52
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Slower,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Everyday,More than five hours,11,11,14,25,42,50
Female,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Sometimes,<1 hour,14,14,16,24,37,52
Male,16,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,Less anxious,As always,Infrequently (1-2 times),Infrequently,<1 hour,19,19,13,28,34,40
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,8,8,7,25,31,45
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,More alone,Never,Never,I don't play,22,22,9,14,54,51
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,As always,Never,Everyday,3-5 hours,15,15,23,19,46,49
